sep=;
id;name;grade;rating;image;tags;notes;setter;date
1;The Left Flag;V5;;the-left-flag.png;;"Very cool extension of the black meteor holds climb. I found the first two moves very fun; so I wanted to turn it into a real climb. Figuring out how to make the last move was pretty tricky but I really like how it turned out. Once you send it you will understand the reason behind the name.";Ben;2026-04-08
2;V4 Plateau;V4;;v4-plateau.heic;;The dynamic first two moves quickly lead into a more controlled next two... up untill the swing at the end. The controlled crimps will be hard to get used to but mastering the footwork feels super cool. The name comes from the style of the climb. The first two moves are dynamic showing how you just sent your first V4 and feel pretty good. Then comes the platteu in which you feel like you aren't making progress. You just have to be patient and push through untill the final move where you swing to victory.;Ben;2026-04-09
3;Cryptic Fusion;V6;;;;"Think before you start climbing or you will do some serious grunting. Oh; you might consider some stretching before you jump on it.  ";Yoda;2026-04-13
4;Green Goblin;V2;;green-goblin.png;;Use your power and you shall conquer. ;Yoda;2026-04-13
5;Feeling Blue;V1;;feeling-blue.png;;"If you ever feel blue; find happiness in crushing this one. ";Yoda;2026-04-13
6;Blades of Grass;V3;;blades-of-grass.png;;"Follow very sharp crimps the whole way through. Pretty simple climbing up until the final move; where you have to commit from one  sharp blade to another. For anybody who projects this; the last move will be a tough one to master.";Ben;2026-04-09
7;Jumping with Joy;V2;;jumping-for-joy.png;;Very juggy and dynamic problem with some tricky footwork. Explosive power and cutting loose are definitely ways to make you jump for joy.;Ben;2026-04-13
